Date,Price
03/25/2022,164.77
03/24/2022,163.65
03/23/2022,163.41
03/22/2022,164.89
03/21/2022,161.49
03/18/2022,161.25
03/17/2022,157.24
03/16/2022,153.1
03/15/2022,147.37
03/14/2022,141.85
03/11/2022,145.52
03/10/2022,146.82
03/09/2022,139.28
03/08/2022,136.01
03/07/2022,137.45
03/04/2022,145.64
03/03/2022,147.9
03/02/2022,152.05
03/01/2022,151.14
02/28/2022,153.56
02/25/2022,153.79
02/24/2022,151.36
02/23/2022,144.83
02/22/2022,150.2
02/18/2022,152.6
02/17/2022,154.65
02/16/2022,158.1
02/15/2022,156.51
02/14/2022,155.17
02/11/2022,153.29
02/10/2022,159
02/09/2022,161.19
02/08/2022,161.41
02/07/2022,157.94
02/04/2022,157.64
02/03/2022,138.85
02/02/2022,150.61
02/01/2022,151.19
01/31/2022,149.57
01/28/2022,143.98
01/27/2022,139.64
01/26/2022,138.87
01/25/2022,139.99
01/24/2022,144.54
01/21/2022,142.64
01/20/2022,151.67
01/19/2022,156.3
01/18/2022,158.92
01/14/2022,162.14
01/13/2022,161.21
01/12/2022,165.21
01/11/2022,165.36
01/10/2022,161.49
01/07/2022,162.55
01/06/2022,163.25
01/05/2022,164.36
01/04/2022,167.52
01/03/2022,170.4
12/31/2021,166.72
12/30/2021,168.64
12/29/2021,169.2
12/28/2021,170.66
12/27/2021,169.67
12/23/2021,171.07
12/22/2021,171.04
12/21/2021,170.42
12/20/2021,167.08
12/17/2021,170.02
12/16/2021,168.87
12/15/2021,173.31
12/14/2021,169.09
12/13/2021,169.57
12/10/2021,172.21
12/09/2021,174.17
12/08/2021,176.16
12/07/2021,176.16
12/06/2021,171.37
12/03/2021,169.49
12/02/2021,171.87
12/01/2021,172.19
11/30/2021,175.35
11/29/2021,178.08
11/26/2021,175.23
11/24/2021,179.02
11/23/2021,179
11/22/2021,178.63
11/19/2021,183.83
11/18/2021,184.8
11/17/2021,177.45
11/16/2021,177.03
11/15/2021,177.28
11/12/2021,176.26
11/11/2021,173.62
11/10/2021,174.1
11/09/2021,178.81
11/08/2021,174.45
11/05/2021,175.95
11/04/2021,173.85
11/03/2021,169.2
11/02/2021,165.64
11/01/2021,165.91
10/29/2021,168.62
10/28/2021,172.33
10/27/2021,169.62
