Date,Price
02/02/2022,77.73
02/01/2022,77.23
01/31/2022,78.12
01/28/2022,72.5
01/27/2022,72.51
01/26/2022,72.64
01/25/2022,75.1
01/24/2022,81.92
01/21/2022,82.6
01/20/2022,83.51
01/19/2022,82.59
01/18/2022,81.25
01/14/2022,83.2
01/13/2022,84.9
01/12/2022,85.09
01/11/2022,84.79
01/10/2022,84.29
01/07/2022,86.41
01/06/2022,85.77
01/05/2022,89.73
01/04/2022,90.68
01/03/2022,91.66
12/31/2021,93.36
12/30/2021,92.77
12/29/2021,91.99
12/28/2021,91.88
12/27/2021,91.32
12/23/2021,90.7
12/22/2021,90.8
12/21/2021,90.45
12/20/2021,89.94
12/17/2021,90.94
12/16/2021,92.23
12/15/2021,92
12/14/2021,90.03
12/13/2021,91.74
12/10/2021,90.28
12/09/2021,89.91
12/08/2021,90.32
12/07/2021,90.41
12/06/2021,89.15
12/03/2021,88.03
12/02/2021,88.62
12/01/2021,87.84
11/30/2021,86.78
11/29/2021,88.66
11/26/2021,86.09
11/24/2021,87.21
11/23/2021,87.31
11/22/2021,87.36
11/19/2021,88.31
11/18/2021,87.6
11/17/2021,87.78
11/16/2021,86.98
11/15/2021,87.34
11/12/2021,86.31
11/11/2021,85.37
11/10/2021,85.2
11/09/2021,84.94
11/08/2021,84.59
11/05/2021,85.53
11/04/2021,84.76
11/03/2021,85.24
11/02/2021,85.42
11/01/2021,85.59
10/29/2021,85.33
10/28/2021,86.42
10/27/2021,85.01
10/26/2021,85.47
10/25/2021,84.29
10/22/2021,84.42
10/21/2021,83.81
10/20/2021,83.92
10/19/2021,82.03
10/18/2021,80.99
10/15/2021,81.67
10/14/2021,81.46
10/13/2021,80.19
10/12/2021,78.87
10/11/2021,77.83
10/08/2021,80.21
10/07/2021,80.92
10/06/2021,81.18
10/05/2021,79.48
10/04/2021,79.36
10/01/2021,79.21
09/30/2021,78.52
09/29/2021,78.35
09/28/2021,77.27
09/27/2021,78.76
09/24/2021,80.7
09/23/2021,81.27
09/22/2021,81.9
09/21/2021,81.92
09/20/2021,81.69
09/17/2021,81.64
09/16/2021,84
09/15/2021,84.61
09/14/2021,84.64
09/13/2021,84.58
09/10/2021,84.93
09/09/2021,85.84
09/08/2021,86.44
09/07/2021,85.03
09/03/2021,85.69
09/02/2021,86.48
09/01/2021,85.34
08/31/2021,83.99
08/30/2021,83.95
08/27/2021,83.41
08/26/2021,83.81
08/25/2021,84.53
08/24/2021,84.14
08/23/2021,84.4
08/20/2021,86.28
08/19/2021,84.55
08/18/2021,84.42
08/17/2021,83.96
08/16/2021,83.95
08/13/2021,83.45
08/12/2021,83
08/11/2021,82.37
08/10/2021,80.53
08/09/2021,80.56
08/06/2021,80.61
08/05/2021,80.49
08/04/2021,79.87
08/03/2021,79.42
08/02/2021,78.81
07/30/2021,77.9
07/29/2021,78.16
07/28/2021,77.85
07/27/2021,77.86
07/26/2021,76.91
07/23/2021,77.2
07/22/2021,76.12
07/21/2021,75.88
07/20/2021,77.17
07/19/2021,76.99
07/16/2021,77.92
07/15/2021,76.82
07/14/2021,75.7
07/13/2021,74.86
07/12/2021,75.09
07/09/2021,74.99
07/08/2021,75.13
07/07/2021,75.33
07/06/2021,75.13
07/02/2021,74.28
07/01/2021,74.19
06/30/2021,73.28
06/29/2021,74.08
06/28/2021,75.15
06/25/2021,73.86
06/24/2021,72.88
06/23/2021,73.35
06/22/2021,74.11
06/21/2021,74.33
06/18/2021,73.28
06/17/2021,74.58
06/16/2021,73.3
06/15/2021,73.43
06/14/2021,73.31
06/11/2021,73.49
06/10/2021,73.51
06/09/2021,72.45
06/08/2021,72.14
06/07/2021,72.47
06/04/2021,72.34
06/03/2021,72.37
06/02/2021,72.71
06/01/2021,72.12
05/28/2021,73.22
05/27/2021,73
05/26/2021,73.47
05/25/2021,73.37
05/24/2021,74.03
05/21/2021,74.44
05/20/2021,74.29
05/19/2021,72.66
05/18/2021,72.29
05/17/2021,71.9
05/14/2021,73.12
05/13/2021,72.63
05/12/2021,71.54
05/11/2021,74.07
05/10/2021,74.8
05/07/2021,74.53
05/06/2021,74.01
05/05/2021,73.78
05/04/2021,75.69
05/03/2021,76.7
04/30/2021,77.51
04/29/2021,77.22
04/28/2021,77.09
04/27/2021,77.28
04/26/2021,77.93
04/23/2021,78.24
04/22/2021,78.32
